# coeff1	coeff2	chi2
6.999999999999999556e-01 -7.000000000000000666e-02 2.620343537957021908e+04
7.080808080808080884e-01 -7.000000000000000666e-02 2.619565833142889460e+04
7.161616161616161103e-01 -7.000000000000000666e-02 2.620610187263936677e+04
7.242424242424242431e-01 -7.000000000000000666e-02 2.629505105772869138e+04
7.323232323232322649e-01 -7.000000000000000666e-02 2.639014846764599861e+04
7.404040404040403978e-01 -7.000000000000000666e-02 2.648854186456497337e+04
7.484848484848484196e-01 -7.000000000000000666e-02 2.658304913582630616e+04
7.565656565656565524e-01 -7.000000000000000666e-02 2.667985052243274913e+04
7.646464646464645742e-01 -7.000000000000000666e-02 2.677779806269178880e+04
7.727272727272727071e-01 -7.000000000000000666e-02 2.687476279094417259e+04
7.808080808080807289e-01 -7.000000000000000666e-02 2.697336411866790513e+04
7.888888888888888618e-01 -7.000000000000000666e-02 2.707230740049794622e+04
7.969696969696968836e-01 -7.000000000000000666e-02 2.716762693783847863e+04
8.050505050505050164e-01 -7.000000000000000666e-02 2.725873098191249665e+04
8.131313131313131493e-01 -7.000000000000000666e-02 2.734497320093162489e+04
8.212121212121211711e-01 -7.000000000000000666e-02 2.733159908143096254e+04
8.292929292929291929e-01 -7.000000000000000666e-02 2.710596047984557299e+04
8.373737373737373257e-01 -7.000000000000000666e-02 2.688784558536438999e+04
8.454545454545454586e-01 -7.000000000000000666e-02 2.667519503385987628e+04
8.535353535353534804e-01 -7.000000000000000666e-02 2.647015636802986410e+04
8.616161616161615022e-01 -7.000000000000000666e-02 2.627120311657310594e+04
8.696969696969696351e-01 -7.000000000000000666e-02 2.610102653144810029e+04
8.777777777777777679e-01 -7.000000000000000666e-02 2.598203836982246139e+04
8.858585858585857897e-01 -7.000000000000000666e-02 2.586540091529604251e+04
8.939393939393939226e-01 -7.000000000000000666e-02 2.575037190465810272e+04
9.020202020202019444e-01 -7.000000000000000666e-02 2.565843979705027596e+04
9.101010101010100772e-01 -7.000000000000000666e-02 2.557335960831753982e+04
9.181818181818180991e-01 -7.000000000000000666e-02 2.549239759635181690e+04
9.262626262626262319e-01 -7.000000000000000666e-02 2.541571620299560163e+04
9.343434343434342537e-01 -7.000000000000000666e-02 2.534235087234416642e+04
9.424242424242423866e-01 -7.000000000000000666e-02 2.527140765986330007e+04
9.505050505050505194e-01 -7.000000000000000666e-02 2.520217055898026956e+04
9.585858585858585412e-01 -7.000000000000000666e-02 2.513451145431219629e+04
9.666666666666665630e-01 -7.000000000000000666e-02 2.506828483620287443e+04
9.747474747474746959e-01 -7.000000000000000666e-02 2.500328349280542534e+04
9.828282828282828287e-01 -7.000000000000000666e-02 2.493921300990405871e+04
9.909090909090908506e-01 -7.000000000000000666e-02 2.487581223787492127e+04
9.989898989898988724e-01 -7.000000000000000666e-02 2.481285012982788976e+04
1.007070707070707005e+00 -7.000000000000000666e-02 2.475012287230453876e+04
1.015151515151515138e+00 -7.000000000000000666e-02 2.468745128085707620e+04
1.023232323232323271e+00 -7.000000000000000666e-02 2.462467843555883883e+04
1.031313131313131404e+00 -7.000000000000000666e-02 2.456166753394506668e+04
1.039393939393939315e+00 -7.000000000000000666e-02 2.449829994107515813e+04
1.047474747474747447e+00 -7.000000000000000666e-02 2.443447341838007924e+04
1.055555555555555580e+00 -7.000000000000000666e-02 2.437042361706127485e+04
1.063636363636363491e+00 -7.000000000000000666e-02 2.430585930555927553e+04
1.071717171717171624e+00 -7.000000000000000666e-02 2.424030286114857881e+04
1.079797979797979757e+00 -7.000000000000000666e-02 2.417386746243453672e+04
1.087878787878787890e+00 -7.000000000000000666e-02 2.410615100918356620e+04
1.095959595959596022e+00 -7.000000000000000666e-02 2.403766296399032581e+04
1.104040404040403933e+00 -7.000000000000000666e-02 2.396866674586892623e+04
1.112121212121212066e+00 -7.000000000000000666e-02 2.389882979877046455e+04
1.120202020202020199e+00 -7.000000000000000666e-02 2.382800850159238325e+04
1.128282828282828110e+00 -7.000000000000000666e-02 2.375601555440860466e+04
1.136363636363636243e+00 -7.000000000000000666e-02 2.369234695880969957e+04
1.144444444444444375e+00 -7.000000000000000666e-02 2.364093341986651649e+04
1.152525252525252508e+00 -7.000000000000000666e-02 2.358873826161314355e+04
1.160606060606060641e+00 -7.000000000000000666e-02 2.353477850668573592e+04
1.168686868686868774e+00 -7.000000000000000666e-02 2.347939634729960744e+04
1.176767676767676685e+00 -7.000000000000000666e-02 2.342309492290718845e+04
1.184848484848484818e+00 -7.000000000000000666e-02 2.329993336160776380e+04
1.192929292929292950e+00 -7.000000000000000666e-02 2.309759859265352861e+04
1.201010101010100861e+00 -7.000000000000000666e-02 2.289947031049371435e+04
1.209090909090908994e+00 -7.000000000000000666e-02 2.270530541920279938e+04
1.217171717171717127e+00 -7.000000000000000666e-02 2.251479292408215406e+04
1.225252525252525260e+00 -7.000000000000000666e-02 2.232754925001205629e+04
1.233333333333333393e+00 -7.000000000000000666e-02 2.214271738455249579e+04
1.241414141414141525e+00 -7.000000000000000666e-02 2.196138470614104517e+04
1.249494949494949436e+00 -7.000000000000000666e-02 2.178327645274955285e+04
1.257575757575757569e+00 -7.000000000000000666e-02 2.160845834400107924e+04
1.265656565656565480e+00 -7.000000000000000666e-02 2.143680800032664774e+04
1.273737373737373613e+00 -7.000000000000000666e-02 2.126820953190050568e+04
1.281818181818181746e+00 -7.000000000000000666e-02 2.110255314219569846e+04
1.289898989898989878e+00 -7.000000000000000666e-02 2.095708336526169296e+04
1.297979797979798011e+00 -7.000000000000000666e-02 2.082113910932557701e+04
1.306060606060606144e+00 -7.000000000000000666e-02 2.068688383877022716e+04
1.314141414141414055e+00 -7.000000000000000666e-02 2.055418510991542644e+04
1.322222222222222188e+00 -7.000000000000000666e-02 2.042315420475726205e+04
1.330303030303030098e+00 -7.000000000000000666e-02 2.029373925434840203e+04
1.338383838383838231e+00 -7.000000000000000666e-02 2.016589125450947540e+04
1.346464646464646364e+00 -7.000000000000000666e-02 2.003959116044384791e+04
1.354545454545454497e+00 -7.000000000000000666e-02 1.991494010559879825e+04
1.362626262626262630e+00 -7.000000000000000666e-02 1.979188516150337091e+04
1.370707070707070763e+00 -7.000000000000000666e-02 1.967022415496156464e+04
1.378787878787878896e+00 -7.000000000000000666e-02 1.954991936370083567e+04
1.386868686868686806e+00 -7.000000000000000666e-02 1.943093504071809366e+04
1.394949494949494939e+00 -7.000000000000000666e-02 1.931323728972008757e+04
1.403030303030302850e+00 -7.000000000000000666e-02 1.919661374645165051e+04
1.411111111111110983e+00 -7.000000000000000666e-02 1.908107867239026018e+04
1.419191919191919116e+00 -7.000000000000000666e-02 1.896675497770166476e+04
1.427272727272727249e+00 -7.000000000000000666e-02 1.885361436588864308e+04
1.435353535353535381e+00 -7.000000000000000666e-02 1.874162991374145713e+04
1.443434343434343514e+00 -7.000000000000000666e-02 1.863077598713175030e+04
1.451515151515151425e+00 -7.000000000000000666e-02 1.852102816229252494e+04
1.459595959595959558e+00 -7.000000000000000666e-02 1.841236315221220138e+04
1.467676767676767469e+00 -7.000000000000000666e-02 1.830466959210752611e+04
1.475757575757575601e+00 -7.000000000000000666e-02 1.819796013353580929e+04
1.483838383838383734e+00 -7.000000000000000666e-02 1.809226319696404971e+04
1.491919191919191867e+00 -7.000000000000000666e-02 1.798745433897433395e+04
1.500000000000000000e+00 -7.000000000000000666e-02 1.788364687937483177e+04
6.999999999999999556e-01 -6.878787878787880061e-02 2.475027320560501903e+04
7.080808080808080884e-01 -6.878787878787880061e-02 2.472108826526578559e+04
7.161616161616161103e-01 -6.878787878787880061e-02 2.470931321712097997e+04
7.242424242424242431e-01 -6.878787878787880061e-02 2.471506221158926564e+04
7.323232323232322649e-01 -6.878787878787880061e-02 2.473560317028734426e+04
7.404040404040403978e-01 -6.878787878787880061e-02 2.476763757364828780e+04
7.484848484848484196e-01 -6.878787878787880061e-02 2.480887624000854339e+04
7.565656565656565524e-01 -6.878787878787880061e-02 2.491080455601132780e+04
7.646464646464645742e-01 -6.878787878787880061e-02 2.502804952961249001e+04
7.727272727272727071e-01 -6.878787878787880061e-02 2.514517115289128560e+04
7.808080808080807289e-01 -6.878787878787880061e-02 2.526095699161286393e+04
7.888888888888888618e-01 -6.878787878787880061e-02 2.537482243607336568e+04
7.969696969696968836e-01 -6.878787878787880061e-02 2.548590306700962537e+04
8.050505050505050164e-01 -6.878787878787880061e-02 2.559334971951188345e+04
8.131313131313131493e-01 -6.878787878787880061e-02 2.569656454486890289e+04
8.212121212121211711e-01 -6.878787878787880061e-02 2.579500067261790900e+04
8.292929292929291929e-01 -6.878787878787880061e-02 2.588873920741560141e+04
8.373737373737373257e-01 -6.878787878787880061e-02 2.597696857539202028e+04
8.454545454545454586e-01 -6.878787878787880061e-02 2.589254223217971230e+04
8.535353535353534804e-01 -6.878787878787880061e-02 2.569433799709944651e+04
8.616161616161615022e-01 -6.878787878787880061e-02 2.550229293409481397e+04
8.696969696969696351e-01 -6.878787878787880061e-02 2.531475221494710422e+04
8.777777777777777679e-01 -6.878787878787880061e-02 2.512901641581593503e+04
8.858585858585857897e-01 -6.878787878787880061e-02 2.497073194960060209e+04
8.939393939393939226e-01 -6.878787878787880061e-02 2.486039612387719171e+04
9.020202020202019444e-01 -6.878787878787880061e-02 2.475266493185160653e+04
9.101010101010100772e-01 -6.878787878787880061e-02 2.465471926549477212e+04
9.181818181818180991e-01 -6.878787878787880061e-02 2.457617600368352578e+04
9.262626262626262319e-01 -6.878787878787880061e-02 2.450211873004074732e+04
9.343434343434342537e-01 -6.878787878787880061e-02 2.443167752087482586e+04
9.424242424242423866e-01 -6.878787878787880061e-02 2.436399607029154868e+04
9.505050505050505194e-01 -6.878787878787880061e-02 2.429887505350019273e+04
9.585858585858585412e-01 -6.878787878787880061e-02 2.423596729287695052e+04
9.666666666666665630e-01 -6.878787878787880061e-02 2.417504035543643113e+04
