# coeff1	coeff2	chi2
6.999999999999999556e-01 -7.000000000000000666e-02 3.817245297287082940e+04
7.080808080808080884e-01 -7.000000000000000666e-02 3.806019091513575404e+04
7.161616161616161103e-01 -7.000000000000000666e-02 3.794442231052179704e+04
7.242424242424242431e-01 -7.000000000000000666e-02 3.782462204097283393e+04
7.323232323232322649e-01 -7.000000000000000666e-02 3.770067341681193648e+04
7.404040404040403978e-01 -7.000000000000000666e-02 3.758287778004950087e+04
7.484848484848484196e-01 -7.000000000000000666e-02 3.746154190724693763e+04
7.565656565656565524e-01 -7.000000000000000666e-02 3.733556771303321148e+04
7.646464646464645742e-01 -7.000000000000000666e-02 3.720511588943089009e+04
7.727272727272727071e-01 -7.000000000000000666e-02 3.707177236496666592e+04
7.808080808080807289e-01 -7.000000000000000666e-02 3.692877242701446085e+04
7.888888888888888618e-01 -7.000000000000000666e-02 3.678161330781614379e+04
7.969696969696968836e-01 -7.000000000000000666e-02 3.655310619512348057e+04
8.050505050505050164e-01 -7.000000000000000666e-02 3.631657874747095047e+04
8.131313131313131493e-01 -7.000000000000000666e-02 3.608204127804451127e+04
8.212121212121211711e-01 -7.000000000000000666e-02 3.584910012215332245e+04
8.292929292929291929e-01 -7.000000000000000666e-02 3.561678111558503588e+04
8.373737373737373257e-01 -7.000000000000000666e-02 3.538510053558778600e+04
8.454545454545454586e-01 -7.000000000000000666e-02 3.515442372182761028e+04
8.535353535353534804e-01 -7.000000000000000666e-02 3.489142118885091622e+04
8.616161616161615022e-01 -7.000000000000000666e-02 3.449040929624230193e+04
8.696969696969696351e-01 -7.000000000000000666e-02 3.408070053624821594e+04
8.777777777777777679e-01 -7.000000000000000666e-02 3.367791856350809394e+04
8.858585858585857897e-01 -7.000000000000000666e-02 3.328291234520117723e+04
8.939393939393939226e-01 -7.000000000000000666e-02 3.289765305993024958e+04
9.020202020202019444e-01 -7.000000000000000666e-02 3.252559857723375899e+04
9.101010101010100772e-01 -7.000000000000000666e-02 3.216044893725895963e+04
9.181818181818180991e-01 -7.000000000000000666e-02 3.179447395493225849e+04
9.262626262626262319e-01 -7.000000000000000666e-02 3.143447999475980396e+04
9.343434343434342537e-01 -7.000000000000000666e-02 3.108158388494403334e+04
9.424242424242423866e-01 -7.000000000000000666e-02 3.073522292344545349e+04
9.505050505050505194e-01 -7.000000000000000666e-02 3.039686344529381677e+04
9.585858585858585412e-01 -7.000000000000000666e-02 3.006494746553241202e+04
