# coeff1	coeff2	chi2
6.999999999999999556e-01 -7.000000000000000666e-02 3.556986121436859776e+03
7.080808080808080884e-01 -7.000000000000000666e-02 3.508533753692032406e+03
7.161616161616161103e-01 -7.000000000000000666e-02 3.464125667182328016e+03
7.242424242424242431e-01 -7.000000000000000666e-02 3.423488508351210385e+03
7.323232323232322649e-01 -7.000000000000000666e-02 3.374401387630407953e+03
7.404040404040403978e-01 -7.000000000000000666e-02 3.319002303886081336e+03
7.484848484848484196e-01 -7.000000000000000666e-02 3.267749855255626244e+03
7.565656565656565524e-01 -7.000000000000000666e-02 3.220328328243904707e+03
7.646464646464645742e-01 -7.000000000000000666e-02 3.176441813419026857e+03
7.727272727272727071e-01 -7.000000000000000666e-02 3.133534786955028267e+03
7.808080808080807289e-01 -7.000000000000000666e-02 3.089897363736039097e+03
7.888888888888888618e-01 -7.000000000000000666e-02 3.049349550719715808e+03
7.969696969696968836e-01 -7.000000000000000666e-02 3.011666480485147986e+03
8.050505050505050164e-01 -7.000000000000000666e-02 2.976606904749665773e+03
8.131313131313131493e-01 -7.000000000000000666e-02 2.944355185082987646e+03
8.212121212121211711e-01 -7.000000000000000666e-02 2.914344238550164391e+03
8.292929292929291929e-01 -7.000000000000000666e-02 2.886384381935645251e+03
8.373737373737373257e-01 -7.000000000000000666e-02 2.860361289437245887e+03
8.454545454545454586e-01 -7.000000000000000666e-02 2.836168947286701041e+03
8.535353535353534804e-01 -7.000000000000000666e-02 2.813690436191677691e+03
8.616161616161615022e-01 -7.000000000000000666e-02 2.792881622272890127e+03
8.696969696969696351e-01 -7.000000000000000666e-02 2.773621819415657228e+03
8.777777777777777679e-01 -7.000000000000000666e-02 2.755747826721491037e+03
8.858585858585857897e-01 -7.000000000000000666e-02 2.739176895449852509e+03
8.939393939393939226e-01 -7.000000000000000666e-02 2.714121562113131404e+03
9.020202020202019444e-01 -7.000000000000000666e-02 2.684002546392936438e+03
9.101010101010100772e-01 -7.000000000000000666e-02 2.654632242915228744e+03
9.181818181818180991e-01 -7.000000000000000666e-02 2.614558142821752426e+03
9.262626262626262319e-01 -7.000000000000000666e-02 2.575762423049268364e+03
9.343434343434342537e-01 -7.000000000000000666e-02 2.537228812622203350e+03
