# coeff1	coeff2	chi2
6.999999999999999556e-01 -7.000000000000000666e-02 8.000198993004137265e+02
7.080808080808080884e-01 -7.000000000000000666e-02 7.867645031449216049e+02
7.161616161616161103e-01 -7.000000000000000666e-02 7.740216093030106776e+02
7.242424242424242431e-01 -7.000000000000000666e-02 7.619095742648061105e+02
7.323232323232322649e-01 -7.000000000000000666e-02 7.501538097759590755e+02
7.404040404040403978e-01 -7.000000000000000666e-02 7.389843671408118553e+02
7.484848484848484196e-01 -7.000000000000000666e-02 7.279977168664631790e+02
7.565656565656565524e-01 -7.000000000000000666e-02 7.178189378480429923e+02
7.646464646464645742e-01 -7.000000000000000666e-02 7.079441316221148099e+02
7.727272727272727071e-01 -7.000000000000000666e-02 6.986533457855001643e+02
7.808080808080807289e-01 -7.000000000000000666e-02 6.898975536721868593e+02
7.888888888888888618e-01 -7.000000000000000666e-02 6.812614349168744639e+02
7.969696969696968836e-01 -7.000000000000000666e-02 6.726353478558503411e+02
8.050505050505050164e-01 -7.000000000000000666e-02 6.645276096296643118e+02
8.131313131313131493e-01 -7.000000000000000666e-02 6.569068426934130684e+02
8.212121212121211711e-01 -7.000000000000000666e-02 6.493747174136506146e+02
8.292929292929291929e-01 -7.000000000000000666e-02 6.422435273578819306e+02
8.373737373737373257e-01 -7.000000000000000666e-02 6.348996547659174894e+02
8.454545454545454586e-01 -7.000000000000000666e-02 6.278765275497137281e+02
8.535353535353534804e-01 -7.000000000000000666e-02 6.212369433452363410e+02
8.616161616161615022e-01 -7.000000000000000666e-02 6.149597967254434252e+02
8.696969696969696351e-01 -7.000000000000000666e-02 6.090155098542165888e+02
8.777777777777777679e-01 -7.000000000000000666e-02 6.035867498193765641e+02
8.858585858585857897e-01 -7.000000000000000666e-02 5.985883560855105543e+02
8.939393939393939226e-01 -7.000000000000000666e-02 5.938619274628856601e+02
9.020202020202019444e-01 -7.000000000000000666e-02 5.897490995682992434e+02
9.101010101010100772e-01 -7.000000000000000666e-02 5.864285149675538378e+02
9.181818181818180991e-01 -7.000000000000000666e-02 5.833318546325987199e+02
9.262626262626262319e-01 -7.000000000000000666e-02 5.803144634078196304e+02
9.343434343434342537e-01 -7.000000000000000666e-02 5.773387490644146283e+02
9.424242424242423866e-01 -7.000000000000000666e-02 5.745133352208523547e+02
9.505050505050505194e-01 -7.000000000000000666e-02 5.719766327800585941e+02
9.585858585858585412e-01 -7.000000000000000666e-02 5.697155338180725721e+02
9.666666666666665630e-01 -7.000000000000000666e-02 5.676906615977217143e+02
9.747474747474746959e-01 -7.000000000000000666e-02 5.658683842151217505e+02
9.828282828282828287e-01 -7.000000000000000666e-02 5.642249429991877605e+02
9.909090909090908506e-01 -7.000000000000000666e-02 5.627443447233073357e+02
9.989898989898988724e-01 -7.000000000000000666e-02 5.614119674371814881e+02
1.007070707070707005e+00 -7.000000000000000666e-02 5.602144436305756017e+02
1.015151515151515138e+00 -7.000000000000000666e-02 5.591395536278275813e+02
1.023232323232323271e+00 -7.000000000000000666e-02 5.581761282765727401e+02
1.031313131313131404e+00 -7.000000000000000666e-02 5.573139600843659309e+02
1.039393939393939315e+00 -7.000000000000000666e-02 5.565437220380612189e+02
1.047474747474747447e+00 -7.000000000000000666e-02 5.558715617966846594e+02
1.055555555555555580e+00 -7.000000000000000666e-02 5.553017577251782768e+02
1.063636363636363491e+00 -7.000000000000000666e-02 5.548419402662070752e+02
1.071717171717171624e+00 -7.000000000000000666e-02 5.545228752142878648e+02
1.079797979797979757e+00 -7.000000000000000666e-02 5.543071117758282753e+02
1.087878787878787890e+00 -7.000000000000000666e-02 5.539800192700934076e+02
1.095959595959596022e+00 -7.000000000000000666e-02 5.536114405919913679e+02
1.104040404040403933e+00 -7.000000000000000666e-02 5.533559144159902417e+02
1.112121212121212066e+00 -7.000000000000000666e-02 5.533634179188493363e+02
1.120202020202020199e+00 -7.000000000000000666e-02 5.534344370738812131e+02
1.128282828282828110e+00 -7.000000000000000666e-02 5.536974594993130268e+02
1.136363636363636243e+00 -7.000000000000000666e-02 5.544419891784971242e+02
1.144444444444444375e+00 -7.000000000000000666e-02 5.552626105323706724e+02
1.152525252525252508e+00 -7.000000000000000666e-02 5.561100196014829180e+02
1.160606060606060641e+00 -7.000000000000000666e-02 5.569769808266988775e+02
1.168686868686868774e+00 -7.000000000000000666e-02 5.579312112232622667e+02
1.176767676767676685e+00 -7.000000000000000666e-02 5.584087086794115748e+02
1.184848484848484818e+00 -7.000000000000000666e-02 5.588980316893770350e+02
1.192929292929292950e+00 -7.000000000000000666e-02 5.594289368946892864e+02
1.201010101010100861e+00 -7.000000000000000666e-02 5.599824014022598249e+02
1.209090909090908994e+00 -7.000000000000000666e-02 5.605493832670955499e+02
1.217171717171717127e+00 -7.000000000000000666e-02 5.611920142069920985e+02
1.225252525252525260e+00 -7.000000000000000666e-02 5.619070208296300279e+02
1.233333333333333393e+00 -7.000000000000000666e-02 5.626278517721888193e+02
1.241414141414141525e+00 -7.000000000000000666e-02 5.633524944060285407e+02
1.249494949494949436e+00 -7.000000000000000666e-02 5.641870667080098656e+02
1.257575757575757569e+00 -7.000000000000000666e-02 5.652057333484850687e+02
1.265656565656565480e+00 -7.000000000000000666e-02 5.661695424230302933e+02
1.273737373737373613e+00 -7.000000000000000666e-02 5.671340175473383169e+02
1.281818181818181746e+00 -7.000000000000000666e-02 5.680907548321207514e+02
1.289898989898989878e+00 -7.000000000000000666e-02 5.690419199849501410e+02
1.297979797979798011e+00 -7.000000000000000666e-02 5.699840292610679171e+02
1.306060606060606144e+00 -7.000000000000000666e-02 5.707490535332143509e+02
1.314141414141414055e+00 -7.000000000000000666e-02 5.715316988580576663e+02
1.322222222222222188e+00 -7.000000000000000666e-02 5.723395227087403327e+02
1.330303030303030098e+00 -7.000000000000000666e-02 5.731438940900483203e+02
1.338383838383838231e+00 -7.000000000000000666e-02 5.739438946137894391e+02
1.346464646464646364e+00 -7.000000000000000666e-02 5.747387047442578023e+02
1.354545454545454497e+00 -7.000000000000000666e-02 5.755275960360263525e+02
1.362626262626262630e+00 -7.000000000000000666e-02 5.763491442586177982e+02
1.370707070707070763e+00 -7.000000000000000666e-02 5.771672323078129239e+02
1.378787878787878896e+00 -7.000000000000000666e-02 5.779252810941172811e+02
1.386868686868686806e+00 -7.000000000000000666e-02 5.790023374709171549e+02
1.394949494949494939e+00 -7.000000000000000666e-02 5.801406063924579257e+02
1.403030303030302850e+00 -7.000000000000000666e-02 5.812709097665264153e+02
1.411111111111110983e+00 -7.000000000000000666e-02 5.823892705378681285e+02
1.419191919191919116e+00 -7.000000000000000666e-02 5.835730659174392940e+02
1.427272727272727249e+00 -7.000000000000000666e-02 5.847867240326036153e+02
1.435353535353535381e+00 -7.000000000000000666e-02 5.859858497589306126e+02
1.443434343434343514e+00 -7.000000000000000666e-02 5.871611775689486876e+02
1.451515151515151425e+00 -7.000000000000000666e-02 5.883219161060328588e+02
